case_id,derived_candidate_rows,generated_only_count,difference
1041064153850317,3,3,0
1102224550126222,10,10,0
1156909359234239,6,6,0
1160762850790949,6,6,0
1188092357045176,3,3,0
1105293557502393,6,5,1
1093360950205123,6,6,0
1095905450128467,4,4,0
1026887757765703,8,7,1
1189309153024166,11,11,0
1141323651499550,10,10,0
1093360955736427,8,7,1
1040237250879902,6,6,0
1147406553907259,5,5,0
1189309153774431,5,5,0
1230366756230969,5,5,0
1026887751513702,6,6,0
1120464655611611,6,6,0
1211086355875120,11,11,0
1026887750239281,9,9,0
1105227354389393,5,5,0
1192422650241018,5,5,0
1193411452152296,5,5,0
1088569656443683,7,7,0
1141323655972946,7,7,0
1156580358056251,7,7,0
1026887754137212,5,5,0
1188092353367019,5,5,0
1218577553462705,5,5,0
1088569652937462,8,7,1
1141323656921446,7,7,0
1043978151129150,6,6,0
1137815055743226,8,8,0
1243354154729238,4,4,0
1218577550953777,10,10,0
1075418456625924,7,7,0
1218577557024984,7,7,0
1218577557910301,7,7,0
1086720259071382,6,6,0
1141323652541396,6,6,0
1187988653021526,7,7,0
1218577555494760,6,6,0
1086720253652133,5,5,0
1093360954422699,10,10,0
1105293551137224,10,10,0
1141323657361873,10,10,0
1147406557174042,12,10,2
1141323655108847,9,9,0
1141323659798652,9,9,0
1026887753452091,7,7,0
1192869255947318,5,5,0
1043978155811525,11,11,0
1141323653155287,11,11,0
1141323659735304,11,11,0
1156909351983905,9,8,1
1141323651644170,11,11,0
1141323653994053,12,11,1
1211086359358922,10,10,0
1088636254849848,9,9,0
1141323651161513,9,9,0
1188092357292244,9,9,0
1093360950636786,6,6,0
1147406559155076,10,10,0
1102224550078440,11,11,0
1093360956535476,8,8,0
1211086353008088,10,10,0
1105293553884408,9,9,0
1088569652654095,9,9,0
1097544650572011,6,6,0
1120464657844625,8,8,0
1147406556570382,0,0,0
1192422656990167,5,5,0
1218577553349756,8,8,0
1004616650051329,8,8,0
1004616653492798,12,12,0
1027414558307391,7,7,0
